Date ,CO2 ,Temperature,CO2_cumulative
03/02/16,17510.92925,10,17510.92925
03/14/16,5823.783375,10,23334.71
04/12/16,14130.88277,10,37465.6
05/03/16,12458.48855,10,49924.08
05/17/16,6780.316889,10,56704.4
06/07/16,8355.735234,10,65060.14
03/02/16,36784.21785,20,36784.22
03/14/16,17095.10074,20,53879.32
04/12/16,22464.55385,20,76343.87
05/03/16,19059.403,20,95403.28
05/17/16,16411.43037,20,111814.71
06/07/16,18860.93268,20,130675.64
03/02/16,66881.67623,30,66881.68
03/14/16,34364.14876,30,101245.82
03/28/16,34719.95686,30,135965.78
04/12/16,29524.76164,30,165490.54
05/03/16,36340.57562,30,201831.12
05/17/16,21312.1472,30,223143.27
06/07/16,26193.14052,30,249336.41